brand_raw,price_discounted,price_mrp,page
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",44
"Fungone Capsules 150mg (1 Box = 1 Capsule)

Rs. 251.75

Rs. 265.00","251.75

 265.00","251.75

 265.00",44
"Plarvy Cough Syrup 120ml

Rs. 370.50

Rs. 390.00","370.50

 390.00","370.50

 390.00",44
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",44
"Sinemet Extra Tablets 25/100mg (1 Box = 3 Strips) (1 Strip = 10 Tablets)

Rs. 479.10

Rs. 504.34","479.10

 504.34","479.10

 504.34",44
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",44
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",44
"Melas Cream 15g

Rs. 341.05

Rs. 359.00","341.05

 359.00","341.05

 359.00",44
"Sem-O Tablets 3mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 1,163.75

Rs. 1,225.00","1,163.75

 1,225.00","1,163.75

 1,225.00",45
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",45
"Sinemet Tablets 25mg/250mg (1 Strip = 10 Tablets)

Rs. 269.30

Rs. 283.52","269.30

 283.52","269.30

 283.52",45
"Montika Tablets 10mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 484.54

Rs. 510.00","484.54

 510.00","484.54

 510.00",45
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",45
"Vorinaz Tablets 200mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 1,666.20

Rs. 1,753.92","1,666.20

 1,753.92","1,666.20

 1,753.92",45
"Lamictal Tablets 100mg (1 Strip = 15 Tablets)

Rs. 1,852.35

Rs. 1,949.81","1,852.35

 1,949.81","1,852.35

 1,949.81",45
"Flucon 35ml Suspension 50mg

Rs. 334.42

Rs. 352.02","334.42

 352.02","334.42

 352.02",45
"Crestat Tablets 10mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 456.10

Rs. 480.11","456.10

 480.11","456.10

 480.11",45
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",45
"Vilanto-U Dpi Capsules 62.5mcg+25mcg (1 Box = 3 Strips) (1 Strip = 10 Capsules)

Rs. 348.30

Rs. 366.67","348.30

 366.67","348.30

 366.67",45
"Starcox Tablets 120mg (1 Box = 1 Strip)(1 Strip = 7 Tablets)

Rs. 219.45

Rs. 231.00","219.45

 231.00","219.45

 231.00",45
"Zyto Tablets 500mg (1 Box = 1 Strip)(1 Strip = 6 Tablets)

Rs. 487.74

Rs. 513.43","487.74

 513.43","487.74

 513.43",45
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",45
"Montika Tablets 10mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 484.54

Rs. 510.00","484.54

 510.00","484.54

 510.00",45
"Vilanto-U Dpi Capsules 62.5mcg+25mcg (1 Box = 3 Strips) (1 Strip = 10 Capsules)

Rs. 348.30

Rs. 366.67","348.30

 366.67","348.30

 366.67",45
"Artheget-Ez Tablets 80mg+480mg (1 Box = 2 Strips) (1 Strip = 3 Tablets)

Rs. 585.18

Rs. 616.00","585.18

 616.00","585.18

 616.00",45
"Genticyn Eye/Ear Drops 7.5ml

Rs. 46.29

Rs. 48.73","46.29

 48.73","46.29

 48.73",46
"Risperiget Tablets 2mg (1 Strip = 10 Tablets)

Rs. 315.90

Rs. 332.50","315.90

 332.50","315.90

 332.50",46
"Aprovel Tablets 150mg (1 Strip = 14 Tablets)

Rs. 270.48

Rs. 284.76","270.48

 284.76","270.48

 284.76",46
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",46
"Crestat Tablets 10mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 456.10

Rs. 480.11","456.10

 480.11","456.10

 480.11",46
"Genticyn Eye/Ear Drops 7.5ml

Rs. 46.29

Rs. 48.73","46.29

 48.73","46.29

 48.73",46
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",46
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",46
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",46
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",46
"Montika Tablets 10mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 484.54

Rs. 510.00","484.54

 510.00","484.54

 510.00",46
"Tirzee Injection 10mg/0.5ml (1 Box = 1prefilled Pen)

Rs. 9,500.00

Rs. 10,000.00","9,500.00

 10,000.00","9,500.00

 10,000.00",46
"Progeffik Softgel Capsules 200mg (1 Box = 1 Strip)(1 Strip = 15 Capsules)

Rs. 1,956.30

Rs. 2,059.24","1,956.30

 2,059.24","1,956.30

 2,059.24",46
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",46
"Rocip Eye Drops 5ml

Rs. 45.45

Rs. 47.84","45.45

 47.84","45.45

 47.84",46
"Fibre One Cereals

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",46
"Artheget-Ez Tablets 80mg+480mg (1 Box = 2 Strips) (1 Strip = 3 Tablets)

Rs. 585.18

Rs. 616.00","585.18

 616.00","585.18

 616.00",46
"Protect 4 In 1 Nappy Cream 30g

Rs. 156.47

Rs. 164.70","156.47

 164.70","156.47

 164.70",47
"Gvia-M Tablets 50mg/1000mg (1 Strip = 7 Tablets)

Rs. 259.35

Rs. 273.00","259.35

 273.00","259.35

 273.00",47
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",47
"Fibre One Cereals

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",47
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",47
"Route 2 Health Womens One Daily Tablets (1 Bottle = 30 Tablets)

Rs. 1,681.50

Rs. 1,770.00","1,681.50

 1,770.00","1,681.50

 1,770.00",47
"Ivermite Tablets 6mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 428.50

Rs. 451.00","428.50

 451.00","428.50

 451.00",47
"Tamsolin-S Tablets 0.4mg+6 Mg (1 Strip = 10 Tablets)

Rs. 1,367.10

Rs. 1,439.00","1,367.10

 1,439.00","1,367.10

 1,439.00",47
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",47
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",47
"Artheget-Ez Tablets 80mg+480mg (1 Box = 2 Strips) (1 Strip = 3 Tablets)

Rs. 585.18

Rs. 616.00","585.18

 616.00","585.18

 616.00",47
"Tamsolin-S Tablets 0.4mg+6 Mg (1 Strip = 10 Tablets)

Rs. 1,367.10

Rs. 1,439.00","1,367.10

 1,439.00","1,367.10

 1,439.00",47
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",47
"Vorinaz Tablets 200mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 1,666.20

Rs. 1,753.92","1,666.20

 1,753.92","1,666.20

 1,753.92",47
"Inosita Tablets 50mg (1 Box = 4 Strips) (1 Strip = 7 Tablets)

Rs. 1,117.20

Rs. 1,176.00","1,117.20

 1,176.00","1,117.20

 1,176.00",47
"Tasmi Tablets 40mg (1 Strip = 7 Tablets)

Rs. 31.22

Rs. 32.86","31.22

 32.86","31.22

 32.86",47
"Fungone Capsules 150mg (1 Box = 1 Capsule)

Rs. 251.75

Rs. 265.00","251.75

 265.00","251.75

 265.00",48
"Vorinaz Tablets 200mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 1,666.20

Rs. 1,753.92","1,666.20

 1,753.92","1,666.20

 1,753.92",48
"Fibre One Cereals

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",48
"Flucon 35ml Suspension 50mg

Rs. 334.42

Rs. 352.02","334.42

 352.02","334.42

 352.02",48
"Fungone Capsules 150mg (1 Box = 1 Capsule)

Rs. 251.75

Rs. 265.00","251.75

 265.00","251.75

 265.00",48
"Protect 4 In 1 Nappy Cream 30g

Rs. 156.47

Rs. 164.70","156.47

 164.70","156.47

 164.70",48
"Melas Cream 15g

Rs. 341.05

Rs. 359.00","341.05

 359.00","341.05

 359.00",48
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",48
"Eventone-C Cream 30g

Rs. 1,947.50

Rs. 2,050.00","1,947.50

 2,050.00","1,947.50

 2,050.00",48
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",48
"Vilanto-U Dpi Capsules 62.5mcg+25mcg (1 Box = 3 Strips) (1 Strip = 10 Capsules)

Rs. 348.30

Rs. 366.67","348.30

 366.67","348.30

 366.67",48
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",48
"Eventone-C Cream 30g

Rs. 1,947.50

Rs. 2,050.00","1,947.50

 2,050.00","1,947.50

 2,050.00",48
"Vorinaz Tablets 200mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 1,666.20

Rs. 1,753.92","1,666.20

 1,753.92","1,666.20

 1,753.92",48
"Healthaid Iro Active Capsules (1 Box = 30 Capsules)

Rs. 1,900.00

Rs. 2,000.00","1,900.00

 2,000.00","1,900.00

 2,000.00",48
"Cefspan Capsules 400mg (1 Bottle = 5 Capsules)

Rs. 693.50

Rs. 730.00","693.50

 730.00","693.50

 730.00",48
"Eventone-C Cream 30g

Rs. 1,947.50

Rs. 2,050.00","1,947.50

 2,050.00","1,947.50

 2,050.00",48
"Vorinaz Tablets 200mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 1,666.20

Rs. 1,753.92","1,666.20

 1,753.92","1,666.20

 1,753.92",48
"Plarvy Cough Syrup 120ml

Rs. 370.50

Rs. 390.00","370.50

 390.00","370.50

 390.00",49
"Flucon 35ml Suspension 50mg

Rs. 334.42

Rs. 352.02","334.42

 352.02","334.42

 352.02",49
"Flucon 35ml Suspension 50mg

Rs. 334.42

Rs. 352.02","334.42

 352.02","334.42

 352.02",49
"Fibre One Cereals

Rs. 35.63

Rs. 37.50","35.63

 37.50","35.63

 37.50",49
"Tamsolin-S Tablets 0.4mg+6 Mg (1 Strip = 10 Tablets)

Rs. 1,367.10

Rs. 1,439.00","1,367.10

 1,439.00","1,367.10

 1,439.00",49
"Neurobion Tablets (1 Strip = 10 Tablets)

Rs. 136.10

Rs. 143.23","136.10

 143.23","136.10

 143.23",49
"Ebalin Tablets 75mg (1 Strip = 7 Tablets)

Rs. 206.85

Rs. 217.70","206.85

 217.70","206.85

 217.70",49
"Rs. 345.80

Rs. 364.00","345.80

 364.00","345.80

 364.00",49
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",49
"Vilanto-U Dpi Capsules 62.5mcg+25mcg (1 Box = 3 Strips) (1 Strip = 10 Capsules)

Rs. 348.30

Rs. 366.67","348.30

 366.67","348.30

 366.67",49
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",49
"Eventone-C Cream 30g

Rs. 1,947.50

Rs. 2,050.00","1,947.50

 2,050.00","1,947.50

 2,050.00",49
"Sinemet Tablets 25mg/250mg (1 Strip = 10 Tablets)

Rs. 269.30

Rs. 283.52","269.30

 283.52","269.30

 283.52",49
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",49
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",49
"Eventone-C Cream 30g

Rs. 1,947.50

Rs. 2,050.00","1,947.50

 2,050.00","1,947.50

 2,050.00",49
"Crestat Tablets 10mg (1 Box = 1 Strip)(1 Strip = 10 Tablets)

Rs. 456.10

Rs. 480.11","456.10

 480.11","456.10

 480.11",49
"Tracnesan Cream 0.05% 10g

Rs. 235.13

Rs. 247.51","235.13

 247.51","235.13

 247.51",50
"Plarvy Cough Syrup 120ml

Rs. 370.50

Rs. 390.00","370.50

 390.00","370.50

 390.00",50
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",50
"Flucon 35ml Suspension 50mg

Rs. 334.42

Rs. 352.02","334.42

 352.02","334.42

 352.02",50
"Paraxyl Cr Tablets 37.5mg (1 Box = 1 Strip) (1 Strip = 10 Tablets)

Rs. 644.90

Rs. 678.84","644.90

 678.84","644.90

 678.84",50
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",50
"Sinemet Tablets 25mg/250mg (1 Strip = 10 Tablets)

Rs. 269.30

Rs. 283.52","269.30

 283.52","269.30

 283.52",50
"Artheget-Ez Tablets 80mg+480mg (1 Box = 2 Strips) (1 Strip = 3 Tablets)

Rs. 585.18

Rs. 616.00","585.18

 616.00","585.18

 616.00",50
"Tamsolin-S Tablets 0.4mg+6 Mg (1 Strip = 10 Tablets)

Rs. 1,367.10

Rs. 1,439.00","1,367.10

 1,439.00","1,367.10

 1,439.00",50
"Rocip Eye Drops 5ml

Rs. 45.45

Rs. 47.84","45.45

 47.84","45.45

 47.84",50
"Vilanto-U Dpi Capsules 62.5mcg+25mcg (1 Box = 3 Strips) (1 Strip = 10 Capsules)

Rs. 348.30

Rs. 366.67","348.30

 366.67","348.30

 366.67",50
"Artheget-Ez Tablets 80mg+480mg (1 Box = 2 Strips) (1 Strip = 3 Tablets)

Rs. 585.18

Rs. 616.00","585.18

 616.00","585.18

 616.00",50
"Rosemary Oil 10ml

Rs. 921.50

Rs. 970.00","921.50

 970.00","921.50

 970.00",50
"Dicloran Topical Gel 30g

Rs. 242.25

Rs. 255.00","242.25

 255.00","242.25

 255.00",50
"Ondaset Tablets 8mg (1 Box = 10 Tablets)

Rs. 379.10

Rs. 399.00","379.10

 399.00","379.10

 399.00",50
"Sem-O Tablets 3mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 1,163.75

Rs. 1,225.00","1,163.75

 1,225.00","1,163.75

 1,225.00",50
"Tamsolin-S Tablets 0.4mg+6 Mg (1 Strip = 10 Tablets)

Rs. 1,367.10

Rs. 1,439.00","1,367.10

 1,439.00","1,367.10

 1,439.00",50
"Nutrifactor Biotin Plus Tablets 2500mcg (1 Bottle = 30 Tablets)

Rs. 697.32

Rs. 734.02","697.32

 734.02","697.32

 734.02",50
"Mirabet Tablets 50mg (1 Box = 2 Strips) (1 Strip = 10 Tablets)

Rs. 2,102.20

Rs. 2,212.74","2,102.20

 2,212.74","2,102.20

 2,212.74",51
"Tamsolin-S Tablets 0.4mg+6 Mg (1 Strip = 10 Tablets)

Rs. 1,367.10

Rs. 1,439.00","1,367.10

 1,439.00","1,367.10

 1,439.00",51
"Mirabet Tablets 50mg (1 Box = 2 Strips) (1 Strip = 10 Tablets)

Rs. 2,102.20

Rs. 2,212.74","2,102.20

 2,212.74","2,102.20

 2,212.74",51
"Montika Tablets 10mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 484.54

Rs. 510.00","484.54

 510.00","484.54

 510.00",51
"Sem-O Tablets 3mg (1 Box = 2 Strips) (1 Strip = 7 Tablets)

Rs. 1,163.75

Rs. 1,225.00","1,163.75

 1,225.00","1,163.75

 1,225.00",51
"Tamsolin-S Tablets 0.4mg+6 Mg (1 Strip = 10 Tablets)

Rs. 1,367.10

Rs. 1,439.00","1,367.10

 1,439.00","1,367.10

 1,439.00",51
"Rocip Eye Drops 5ml

Rs. 45.45

Rs. 47.84","45.45

 47.84","45.45

 47.84",51
